Species,GFE_ID,River,CU,WATERSHED_CDE,LINEAR_FEATURE_ID
CM,1255,CONSINKA CREEK,CM-10,930-117000-05400-00000-0000-0000-000-000-000-000-000-000,710095758
CM,1369,CONUMA RIVER,CM-10,930-538500-00000-00000-0000-0000-000-000-000-000-000-000,710316909
CM,1174,COOK CREEK,CM-4,920-507861-00000-00000-0000-0000-000-000-000-000-000-000,710425737
CM,1267,COUS CREEK,CM-10,930-143000-00000-00000-0000-0000-000-000-000-000-000-000,710078836
CM,1208,COWICHAN RIVER,CM-4,920-257700-00000-00000-0000-0000-000-000-000-000-000-000,710283145
CM,1168,COWIE CREEK,CM-4,920-524100-00000-00000-0000-0000-000-000-000-000-000-000,710424674
CM,797,CRANBY CREEK,CM-4,905-126000-31000-00000-0000-0000-000-000-000-000-000-000,72045125
CM,820,CUMSACK CREEK,CM-7,900-406900-00600-00000-0000-0000-000-000-000-000-000-000,66100203
CM,1329,CYPRE RIVER,CM-10,930-368500-00000-00000-0000-0000-000-000-000-000-000-000,710217642
CM,794,DEIGHTON CREEK,CM-4,900-280800-00000-00000-0000-0000-000-000-000-000-000-000,72036159
CM,1483,DENAD CREEK,CM-11,930-947100-00000-00000-0000-0000-000-000-000-000-000-000,710352368
CM,1372,DESERTED CREEK,CM-10,930-548100-00000-00000-0000-0000-000-000-000-000-000-000,710320959
CM,780,DESERTED RIVER,CM-4,900-220600-00000-00000-0000-0000-000-000-000-000-000-000,72010113
CM,1490,DOMINIC CREEK,CM-11,930-984200-00000-00000-0000-0000-000-000-000-000-000-000,710336944
CM,1243,DOOBAH CREEK,CM-10,930-071700-15800-00000-0000-0000-000-000-000-000-000-000,710482717
CM,767,DORISTON CREEK,CM-4,900-156200-00000-00000-0000-0000-000-000-000-000-000-000,72042059
CM,1135,DREW CREEK,CM-4,905-291000-89600-00000-0000-0000-000-000-000-000-000-000,710235406
CM,1283,DUTCH HARBOUR CREEK EAST,CM-10,930-210900-00000-00000-0000-0000-000-000-000-000-000-000,710094963
CM,1284,DUTCH HARBOUR CREEK WEST,CM-10,930-211500-00000-00000-0000-0000-000-000-000-000-000-000,710094665
CM,1433,EAST CREEK,CM-11,930-782400-00000-00000-0000-0000-000-000-000-000-000-000,710140113
CM,1419,EASY CREEK,CM-10,930-691300-00000-00000-0000-0000-000-000-000-000-000-000,710526520
CM,1279,EFFINGHAM RIVER,CM-10,930-196400-00000-00000-0000-0000-000-000-000-000-000-000,710084476
CM,1398,EHATISAHT CREEK,CM-10,930-589700-00000-00000-0000-0000-000-000-000-000-000-000,710539114
CM,1420,ELAINE CREEK,CM-10,930-691900-00000-00000-0000-0000-000-000-000-000-000-000,710527161
CM,1404,ELIZA CREEK,CM-10,930-621100-00000-00000-0000-0000-000-000-000-000-000-000,710536965
CM,878,EMBLEY CREEK,CM-8,900-730600-00000-00000-0000-0000-000-000-000-000-000-000,179056634
CM,1184,ENGLISHMAN RIVER,CM-4,920-462800-00000-00000-0000-0000-000-000-000-000-000-000,710428838
CM,1400,ESPINOSA CREEK,CM-10,930-604000-00000-00000-0000-0000-000-000-000-000-000-000,710535478
CM,1491,FISHERMAN RIVER,CM-11,930-992000-00000-00000-0000-0000-000-000-000-000-000-000,710333862
CM,804,FORBES BAY CREEK,CM-4,900-333800-00000-00000-0000-0000-000-000-000-000-000-000,206089342
CM,803,FORBES CREEK,CM-4,900-332400-00000-00000-0000-0000-000-000-000-000-000-000,206091822
CM,849,FRANKLIN RIVER,CM-9,900-589500-00000-00000-0000-0000-000-000-000-000-000-000,86111527
CM,1258,FRANKLIN RIVER,CM-10,930-129400-00000-00000-0000-0000-000-000-000-000-000-000,710083646
CM,830,FRAZER CREEK,CM-6,900-471200-00800-00000-0000-0000-000-000-000-000-000-000,88081318
CM,821,FREDERICK ARM CREEK,CM-6,900-441500-00000-00000-0000-0000-000-000-000-000-000-000,206062987
CM,1253,FREDERICK CREEK,CM-10,930-110800-03000-00000-0000-0000-000-000-000-000-000-000,710097996
CM,1183,FRENCH CREEK,CM-4,920-470700-00000-00000-0000-0000-000-000-000-000-000-000,710428885
CM,836,FULMORE RIVER,CM-6,900-521100-00000-00000-0000-0000-000-000-000-000-000-000,88104422
CM,1326,FUNDY CREEK,CM-10,935-302000-86500-00000-0000-0000-000-000-000-000-000-000,710225666
CM,1484,GALATO CREEK,CM-11,930-948100-00000-00000-0000-0000-000-000-000-000-000-000,710352952
CM,863,GILFORD CREEK,CM-8,905-557500-78200-00000-0000-0000-000-000-000-000-000-000,88091350
CM,847,GLENDALE CREEK,CM-6,900-569800-08600-00000-0000-0000-000-000-000-000-000-000,88093012
CM,1468,GLERUP CREEK,CM-11,930-897000-00000-00000-0000-0000-000-000-000-000-000-000,710342641
CM,1358,GOLD RIVER,CM-10,930-511600-00000-00000-0000-0000-000-000-000-000-000-000,710328443
CM,1211,GOLDSTREAM RIVER,CM-4,920-211900-00000-00000-0000-0000-000-000-000-000-000-000,710576399
CM,1466,GOODSPEED RIVER,CM-11,930-894800-00000-00000-0000-0000-000-000-000-000-000-000,710340712
CM,1238,GORDON RIVER,CM-10,930-054700-00000-00000-0000-0000-000-000-000-000-000-000,710499006
CM,1136,GRANITE BAY CREEK,CM-6,905-291000-35900-00000-0000-0000-000-000-000-000-000-000,710232965
CM,826,GRASSY CREEK,CM-6,900-459600-00000-00000-0000-0000-000-000-000-000-000-000,88108808
CM,773,GRAY CREEK,CM-4,900-168400-00000-00000-0000-0000-000-000-000-000-000-000,72054867
CM,827,GRAY CREEK,CM-6,900-461200-00000-00000-0000-0000-000-000-000-000-000-000,88106515
CM,762,HALFMOON CREEK,CM-4,900-126900-00000-00000-0000-0000-000-000-000-000-000-000,72056500
CM,1403,HAMMOND CREEK,CM-10,930-620900-00000-00000-0000-0000-000-000-000-000-000-000,710536914
CM,1165,HART CREEK,CM-4,920-538600-00000-00000-0000-0000-000-000-000-000-000-000,710253089
CM,1195,HASLAM CREEK,CM-4,920-384400-11200-00000-0000-0000-000-000-000-000-000-000,710261239
CM,1470,HATHAWAY CREEK,CM-11,930-903800-00000-00000-0000-0000-000-000-000-000-000-000,710347986
CM,1473,HAWISNAKWI CREEK,CM-11,930-917300-00000-00000-0000-0000-000-000-000-000-000-000,710353914
CM,1436,HEAD CREEK,CM-11,930-798500-00000-00000-0000-0000-000-000-000-000-000-000,710134278
CM,822,HEMMING BAY CREEK,CM-6,905-379500-85700-00000-0000-0000-000-000-000-000-000-000,710438287
CM,1273,HENDERSON LAKE,CM-10,930-162500-00000-00000-0000-0000-000-000-000-000-000-000,710091033
CM,1347,HESQUIAT HARBOUR #2 CREEKS,CM-10,930-460400-00000-00000-0000-0000-000-000-000-000-000-000,710198643
CM,1348,HESQUIAT LAKE CREEK,CM-10,930-461400-00000-00000-0000-0000-000-000-000-000-000-000,710196126
CM,831,HEYDON CREEK,CM-6,900-477600-00000-00000-0000-0000-000-000-000-000-000-000,88102761
CM,1295,HILLIER CREEK,CM-10,930-242800-00000-00000-0000-0000-000-000-000-000-000-000,710095271
CM,1245,HOBITON CREEK,CM-10,930-071700-20600-00000-0000-0000-000-000-000-000-000-000,710478800
CM,857,HOEYA SOUND CREEK,CM-8,900-619100-00000-00000-0000-0000-000-000-000-000-000-000,88083924
CM,1373,HOISS CREEK,CM-10,930-556300-00000-00000-0000-0000-000-000-000-000-000-000,710326748
CM,1275,HOLFORD CREEK,CM-10,935-110500-38900-00000-0000-0000-000-000-000-000-000-000,710095802
CM,1201,HOLLAND CREEK,CM-4,920-321500-00000-00000-0000-0000-000-000-000-000-000-000,710267924
CM,819,HOMATHKO RIVER,CM-7,900-406900-00000-00000-0000-0000-000-000-000-000-000-000,66100961
CM,1338,HOOTLA KOOTLA CREEK,CM-10,935-374000-38800-00000-0000-0000-000-000-000-000-000-000,710209391
CM,1345,HOT SPRINGS COVE CREEK,CM-10,930-449900-00000-00000-0000-0000-000-000-000-000-000-000,710207499
CM,1354,HOUSTON RIVER,CM-10,930-497700-00000-00000-0000-0000-000-000-000-000-000-000,710179298
CM,783,HUNAECHIN CREEK,CM-4,900-233000-04300-00000-0000-0000-000-000-000-000-000-000,72004833
CM,1464,HUSHAMU CREEK,CM-11,930-886900-00000-00000-0000-0000-000-000-000-000-000-000,710345986
CM,1134,HYACINTHE CREEK,CM-4,905-291000-84800-00000-0000-0000-000-000-000-000-000-000,710234936
CM,1343,ICE RIVER,CM-10,930-426900-00000-00000-0000-0000-000-000-000-000-000-000,710196166
CM,1385,INNER BASIN RIVER (RANSOM),CM-10,935-483000-37000-00000-0000-0000-000-000-000-000-000-000,710316647
CM,1294,ITATSOO CREEK,CM-10,930-239300-00000-00000-0000-0000-000-000-000-000-000-000,710096212
CM,1355,JACKLAH RIVER,CM-10,930-502700-00000-00000-0000-0000-000-000-000-000-000-000,710177620
CM,788,JEFFERD CREEK,CM-4,900-272400-00000-00000-0000-0000-000-000-000-000-000-000,72037805
CM,1435,JIM'S CREEK,CM-11,930-795100-00000-00000-0000-0000-000-000-000-000-000-000,710133644
CM,1469,JOHNNY CREEK,CM-11,930-900200-00000-00000-0000-0000-000-000-000-000-000-000,710346022
CM,1446,JULIAN CREEK,CM-11,930-835300-00000-00000-0000-0000-000-000-000-000-000-000,710111904
CM,860,KAKWEIKEN RIVER,CM-8,900-632100-00000-00000-0000-0000-000-000-000-000-000-000,88063021
CM,1137,KANISH CREEK,CM-6,905-291000-41400-00000-0000-0000-000-000-000-000-000-000,710232513
CM,1412,KAOUK RIVER,CM-10,930-665700-00000-00000-0000-0000-000-000-000-000-000-000,710531587
CM,1418,KASHUTL RIVER,CM-10,930-687400-00000-00000-0000-0000-000-000-000-000-000-000,710520706
CM,1417,KAUWINCH RIVER,CM-10,930-683800-00000-00000-0000-0000-000-000-000-000-000-000,710525206
CM,1437,KEITH RIVER,CM-11,930-805400-00000-00000-0000-0000-000-000-000-000-000-000,710129351
CM,793,KELLY CREEK,CM-4,900-278600-00000-00000-0000-0000-000-000-000-000-000-000,72037990
CM,1379,KENDRICK CREEK,CM-10,935-483000-84200-00000-0000-0000-000-000-000-000-000-000,710323902
CM,1306,KENNEDY RIVER - LOWER,CM-10,930-306400-00000-00000-0000-0000-000-000-000-000-000-000,710228518
CM,1305,KENNEDY RIVER - UPPER,CM-10,930-306400-00000-00000-0000-0000-000-000-000-000-000-000,710228518
CM,1108,KEOGH RIVER,CM-5,920-866900-00000-00000-0000-0000-000-000-000-000-000-000,710384639
CM,1443,KEWQUODIE CREEK,CM-11,930-830300-00000-00000-0000-0000-000-000-000-000-000-000,710111777
CM,872,KINGCOME RIVER,CM-8,900-681600-00000-00000-0000-0000-000-000-000-000-000-000,88040288
CM,1248,KLANAWA RIVER,CM-10,930-075500-00000-00000-0000-0000-000-000-000-000-000-000,710026037
CM,1434,KLASKISH RIVER,CM-11,930-784100-00000-00000-0000-0000-000-000-000-000-000-000,710138043
CM,1482,KLAYINA CREEK,CM-11,930-946100-00000-00000-0000-0000-000-000-000-000-000-000,710351921
CM,1364,KLEEPTEE CREEK,CM-10,930-521000-00000-00000-0000-0000-000-000-000-000-000-000,710330385
CM,850,KLINAKLINI RIVER,CM-9,900-592700-00000-00000-0000-0000-000-000-000-000-000-000,86110399
CM,809,KLITE RIVER,CM-4,900-349300-03300-00000-0000-0000-000-000-000-000-000-000,206059864
CM,1444,KLOOTCHLIMMIS CREEK,CM-11,930-832000-00000-00000-0000-0000-000-000-000-000-000-000,710111868
CM,823,KNOX BAY CREEK,CM-6,905-381000-79000-00000-0000-0000-000-000-000-000-000-000,710438434
CM,1115,KOKISH RIVER,CM-5,920-810900-00000-00000-0000-0000-000-000-000-000-000-000,710539764
CM,1209,KOKSILAH RIVER,CM-4,920-257700-02300-00000-0000-0000-000-000-000-000-000-000,710282766
CM,1302,KOOTOWIS CREEK,CM-10,930-300800-00000-00000-0000-0000-000-000-000-000-000-000,710229449
CM,1475,KOPRINO RIVER,CM-11,930-925900-00000-00000-0000-0000-000-000-000-000-000-000,710354404
CM,853,KWALATE CREEK,CM-9,900-608900-00000-00000-0000-0000-000-000-000-000-000-000,88068680
CM,1486,KWATLEO CREEK,CM-11,930-952400-00000-00000-0000-0000-000-000-000-000-000-000,710354366
CM,1454,KWOKWESTA CREEK,CM-11,930-862200-00000-00000-0000-0000-000-000-000-000-000-000,710109258
CM,792,LANG CREEK,CM-4,900-278100-00000-00000-0000-0000-000-000-000-000-000-000,72037789
CM,1485,LEESON CREEK,CM-11,930-951900-00000-00000-0000-0000-000-000-000-000-000-000,710354247
CM,1375,LEINER RIVER,CM-10,930-567600-00000-00000-0000-0000-000-000-000-000-000-000,710303254
CM,1471,LEWIS CREEK,CM-11,930-905900-00000-00000-0000-0000-000-000-000-000-000-000,710348634
CM,1291,LITTLE MAGGIE RIVER,CM-10,930-234200-00000-00000-0000-0000-000-000-000-000-000-000,710094283
CM,1181,LITTLE QUALICUM RIVER,CM-4,920-481800-00000-00000-0000-0000-000-000-000-000-000-000,710427756
CM,810,LITTLE TOBA RIVER,CM-4,900-349300-24400-00000-0000-0000-000-000-000-000-000-000,206060222
CM,1289,LITTLE TOQUART CREEK,CM-10,930-230500-03800-00000-0000-0000-000-000-000-000-000-000,710089284
CM,1332,LITTLE WHITEPINE COVE #1 CREEK,CM-10,930-382000-00000-00000-0000-0000-000-000-000-000-000-000,710216310
CM,1394,LITTLE ZEBALLOS RIVER,CM-10,930-579900-00000-00000-0000-0000-000-000-000-000-000-000,710299003
CM,790,LOIS RIVER,CM-4,900-277000-00000-00000-0000-0000-000-000-000-000-000-000,72037968
CM,1391,LORD CREEK,CM-10,930-574100-00000-00000-0000-0000-000-000-000-000-000-000,710307197
CM,1299,LOST SHOE CREEK,CM-10,930-260600-00000-00000-0000-0000-000-000-000-000-000-000,710092872
CM,1481,LOWER AHWHICHAOLTO CREEK,CM-11,930-944900-00000-00000-0000-0000-000-000-000-000-000-000,710351778
CM,1287,LUCKY CREEK,CM-10,930-227800-00000-00000-0000-0000-000-000-000-000-000-000,710090642
CM,858,LULL CREEK,CM-8,900-620600-00000-00000-0000-0000-000-000-000-000-000-000,88084526
CM,876,MACKENZIE RIVER,CM-8,900-712900-00000-00000-0000-0000-000-000-000-000-000-000,179059069
CM,1269,MACKTUSH CREEK,CM-10,930-147000-00000-00000-0000-0000-000-000-000-000-000-000,710083056
CM,1290,MAGGIE RIVER,CM-10,930-233800-00000-00000-0000-0000-000-000-000-000-000-000,710093937
CM,1440,MAHATTA CREEK,CM-11,930-823900-00000-00000-0000-0000-000-000-000-000-000-000,710114275
CM,1447,MAHWHIECLAS CREEK,CM-11,930-836600-00000-00000-0000-0000-000-000-000-000-000-000,710112291
CM,1426,MALKSOPE RIVER,CM-10,930-722200-00000-00000-0000-0000-000-000-000-000-000-000,710525556
CM,1399,MAMAT CREEK,CM-10,930-599200-00000-00000-0000-0000-000-000-000-000-000-000,710536427
CM,1455,MARBLE RIVER,CM-11,930-865200-00000-00000-0000-0000-000-000-000-000-000-000,710108856
CM,885,MARION CREEK,CM-8,900-751900-00000-00000-0000-0000-000-000-000-000-000-000,179046797
CM,1380,MARVINAS BAY CREEK,CM-10,935-483000-89500-00000-0000-0000-000-000-000-000-000-000,710330979
CM,1424,MCKAY COVE CREEK,CM-10,930-708600-00000-00000-0000-0000-000-000-000-000-000-000,710532469
CM,1173,MCNAUGHTON CREEK,CM-4,920-507900-00000-00000-0000-0000-000-000-000-000-000-000,710425691
CM,1476,MCNIFFE CREEK,CM-11,930-927400-00000-00000-0000-0000-000-000-000-000-000-000,710354652
CM,1320,MEARES CREEK,CM-10,935-302000-07800-00000-0000-0000-000-000-000-000-000-000,710227478
CM,1341,MEGIN RIVER,CM-10,930-413500-00000-00000-0000-0000-000-000-000-000-000-000,710201411
CM,1139,MENZIES CREEK,CM-4,920-646600-00000-00000-0000-0000-000-000-000-000-000-000,710451896
CM,1296,MERCANTILE CREEK,CM-10,930-243300-00000-00000-0000-0000-000-000-000-000-000-000,710095091
CM,1162,MILLARD CREEK,CM-4,920-551800-00000-00000-0000-0000-000-000-000-000-000-000,710248401
CM,1110,MILLS CREEK,CM-5,920-838200-00000-00000-0000-0000-000-000-000-000-000-000,710386536
CM,1191,MILLSTONE RIVER,CM-4,920-395400-00000-00000-0000-0000-000-000-000-000-000-000,710044549
CM,1140,MOHUN CREEK,CM-4,920-643100-00000-00000-0000-0000-000-000-000-000-000-000,710454054
CM,1441,MONKEY CREEK,CM-11,930-826300-00000-00000-0000-0000-000-000-000-000-000-000,710114547
CM,1477,MONTGOMERY CREEK,CM-11,930-936000-00000-00000-0000-0000-000-000-000-000-000-000,710040363
CM,1352,MOOYAH RIVER,CM-10,930-491500-00000-00000-0000-0000-000-000-000-000-000-000,710178893
CM,1160,MORRISON CREEK,CM-4,920-553200-94200-04800-0000-0000-000-000-000-000-000-000,710246602
CM,1335,MOYEHA RIVER,CM-10,930-391800-00000-00000-0000-0000-000-000-000-000-000-000,710031372
CM,2616,MYERS CREEK,CM-4,900-143500-00000-00000-0000-0000-000-000-000-000-000-000,72047006
CM,795,MYRTLE CREEK,CM-4,900-281100-00000-00000-0000-0000-000-000-000-000-000-000,72035990
CM,1270,NAHMINT RIVER,CM-10,930-150800-00000-00000-0000-0000-000-000-000-000-000-000,710087125
CM,1101,NAHWITTI RIVER,CM-5,920-953700-00000-00000-0000-0000-000-000-000-000-000-000,710360173
CM,1194,NANAIMO RIVER,CM-4,920-384400-00000-00000-0000-0000-000-000-000-000-000-000,710257918
CM,1186,NANOOSE CREEK,CM-4,920-427200-00000-00000-0000-0000-000-000-000-000-000-000,710430338
CM,373,NAPOLEON CREEK,CM-4,920-384400-11200-05600-0000-0000-000-000-000-000-000-000,710261492
CM,1409,NARROWGUT CREEK,CM-10,930-648400-00000-00000-0000-0000-000-000-000-000-000-000,710535111
CM,1430,NASPARTI RIVER,CM-10,930-747000-00000-00000-0000-0000-000-000-000-000-000-000,710143330
CM,1453,NEQUILTPAALIS CREEK,CM-11,930-853100-00000-00000-0000-0000-000-000-000-000-000-000,710116588
CM,856,NIGGER CREEK,CM-8,900-618900-00000-00000-0000-0000-000-000-000-000-000-000,88083639
CM,1178,NILE CREEK,CM-4,920-494300-00000-00000-0000-0000-000-000-000-000-000-000,710044010
CM,877,NIMMO CREEK,CM-8,900-715700-00000-00000-0000-0000-000-000-000-000-000-000,179056053
CM,1112,NIMPKISH RIVER,CM-5,920-825900-00000-00000-0000-0000-000-000-000-000-000-000,710387157
CM,1242,NITINAT RIVER,CM-10,930-071700-00000-00000-0000-0000-000-000-000-000-000-000,710489788
CM,1461,NUKNIMISH CREEK,CM-11,930-882400-00000-00000-0000-0000-000-000-000-000-000-000,710346510
CM,799,OKEOVER CREEK,CM-4,900-303400-00000-00000-0000-0000-000-000-000-000-000-000,206107816
CM,1133,OPEN BAY CREEK,CM-4,905-291000-82400-00000-0000-0000-000-000-000-000-000-000,710234789
CM,816,ORFORD RIVER,CM-7,900-391500-00000-00000-0000-0000-000-000-000-000-000-000,206043378
CM,1427,OUOUKINSH RIVER,CM-10,930-730300-00000-00000-0000-0000-000-000-000-000-000-000,710143712
CM,1388,OWOSSITSA CREEK,CM-10,935-483000-57000-00000-0000-0000-000-000-000-000-000-000,710313467
CM,1149,OYSTER RIVER,CM-4,920-600400-00000-00000-0000-0000-000-000-000-000-000-000,710236705
CM,1249,PACHENA RIVER,CM-10,930-085500-00000-00000-0000-0000-000-000-000-000-000-000,710102497
CM,1402,PARK RIVER,CM-10,930-615900-00000-00000-0000-0000-000-000-000-000-000-000,710538813
CM,1467,PEGATTEM CREEK,CM-11,930-896100-00000-00000-0000-0000-000-000-000-000-000-000,710342025
CM,805,PENDRELL SOUND CREEK,CM-4,905-328500-31600-00000-0000-0000-000-000-000-000-000-000,206089507
CM,824,PHILLIPS RIVER,CM-6,900-447800-00000-00000-0000-0000-000-000-000-000-000-000,206050647
CM,1286,PIPESTEAM CREEK,CM-10,930-224000-00000-00000-0000-0000-000-000-000-000-000-000,710089514
CM,1251,POETT NOOK CREEK,CM-10,930-108700-00000-00000-0000-0000-000-000-000-000-000-000,710098300
CM,1428,POWER RIVER,CM-10,930-732300-00000-00000-0000-0000-000-000-000-000-000-000,710144111
CM,1156,PUNTLEDGE RIVER,CM-4,920-553200-94200-00000-0000-0000-000-000-000-000-000-000,710245339
CM,1124,PYE CREEK,CM-5,920-686300-00000-00000-0000-0000-000-000-000-000-000-000,710440558
